date, pm25, no2, so2, co2, temperatura
01-04-25,43,19,2,3,11.64
02-04-25,62,15,9,3,13.03
03-04-25,43,15,2,1,12.69
04-04-25,42,11,3,3,13.55
05-04-25,62,16,4,3,11.78
06-04-25,57,20,3,2,12.54
07-04-25,31,12,5,6,12.74
08-04-25,53,15,5,4,12.44
09-04-25,50,22,5,4,13.44
10-04-25,65,14,3,3,12.35
11-04-25,34,15,4,3,11.78
12-04-25,63,13,6,4,10.55
13-04-25,65,13,4,2,10.85
14-04-25,28,14,6,5,11.78
15-04-25,55,15,7,9,12.44
16-04-25,66,17,6,8,14.03
17-04-25,58,12,5,5,12.1
18-04-25,51,13,4,4,12.54
19-04-25,32,17,5,5,11.44
20-04-25,46,13,3,6,10.78
21-04-25,37,7,3,6,12
22-04-25,43,10,4,6,13.44
23-04-25,49,12,4,6,12.81
24-04-25,37,10,4,6,11.64
25-04-25,44,12,5,5,12.54
26-04-25,49,15,4,6,13.44
27-04-25,60,28,1,6,14.35
28-04-25,35,30,3,10,12.54
29-04-25,53,12,6,2,10.44
30-04-25,70,16,4,3,12.34
