date, pm25, no2, so2, co2, temperatura
01-04-25,27,26,5,15,11.57
02-04-25,82,20,2,9,11.98
03-04-25,64,38,4,11,12.38
04-04-25,68,38,3,12,11.87
05-04-25,72,34,4,13,11.62
06-04-25,73,35,2,7,11.5
07-04-25,38,30,5,11,11.36
08-04-25,53,24,3,13,11.51
09-04-25,57,33,5,11,11.02
10-04-25,65,40,2,10,12.84
11-04-25,52,34,5,17,14.41
12-04-25,72,25,6,15,13.03
13-04-25,70,32,3,10,12.03
14-04-25,54,35,4,11,12.79
15-04-25,58,30,5,10,11.95
16-04-25,58,24,6,10,11.25
17-04-25,63,31,2,8,12.03
18-04-25,51,35,2,7,11.7
19-04-25,37,33,3,7,12.07
20-04-25,40,38,2,7,12.38
21-04-25,66,28,2,8,12.54
22-04-25,51,33,3,9,13.43
23-04-25,54,23,3,8,13.44
24-04-25,50,31,4,12,12.81
25-04-25,80,43,3,12,12.35
26-04-25,66,28,2,8,13.12
27-04-25,63,30,2,15,13.34
28-04-25,35,27,5,11,13.37
29-04-25,61,23,5,11,12.11
30-04-25,75,30,2,10,13.11
