date, pm25, no2, so2, co2
01-04-25,17,26,1,9
02-04-25,71,20,2,8
03-04-25,51,38,3,10
04-04-25,62,38,2,10
05-04-25,60,34,3,11
06-04-25,57,20,3,2
07-04-25,31,12,5,6
08-04-25,56,35,2,10
09-04-25,49,30,2,10
10-04-25,60,24,2,7
11-04-25,43,33,2,13
12-04-25,50,40,2,7
13-04-25,49,34,2,6
14-04-25,47,25,3,6
15-04-25,49,32,3,6
16-04-25,51,35,3,6
17-04-25,53,30,2,5
18-04-25,52,24,2,3
19-04-25,29,31,2,4
20-04-25,39,35,1,4
21-04-25,41,33,2,7
22-04-25,52,38,2,7
23-04-25,51,33,3,7
24-04-25,48,23,4,9
25-04-25,59,31,3,10
26-04-25,67,43,2,8
27-04-25,60,28,1,6
28-04-25,35,30,3,10
29-04-25,56,27,4,11
30-04-25,73,23,2,8
