date, pm25, no2, so2, co2
01-04-25,43,19,2,3
02-04-25,62,15,9,3
03-04-25,43,15,2,1
04-04-25,42,11,3,3
05-04-25,62,16,4,3
06-04-25,57,20,3,2
07-04-25,31,12,5,6
08-04-25,53,15,5,4
09-04-25,50,22,5,4
10-04-25,65,14,3,3
11-04-25,34,15,4,3
12-04-25,63,13,6,4
13-04-25,65,13,4,2
14-04-25,28,14,6,5
15-04-25,55,15,7,9
16-04-25,66,17,6,8
17-04-25,58,12,5,5
18-04-25,51,13,4,4
19-04-25,32,17,5,5
20-04-25,46,13,3,6
21-04-25,37,7,3,6
22-04-25,43,10,4,6
23-04-25,49,12,4,6
24-04-25,37,10,4,6
25-04-25,44,12,5,5
26-04-25,49,15,4,6
27-04-25,60,28,1,6
28-04-25,35,30,3,10
29-04-25,53,12,6,2
30-04-25,70,16,4,3
